India,New Delhi,Rupee,Hindi
Greece,Athens,Euro,Greek
Japan,Tokyo,Yen,Japanese
France,Paris,Franc,French
Spain,Madrid,Euro,Spanish
United Kingdom,London,Pound,English
Italy,Rome,Lira,Italian
